Sample	File1	File2
CTauTzN__738	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902722_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902722_2.fastq.gz
CTauTzN__738	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902723_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902723_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/1/SRR6902709_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/1/SRR6902709_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/1/SRR6902710_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/1/SRR6902710_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902711_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902711_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902712_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902712_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902713_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902713_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902714_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/2/SRR6902714_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902715_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902715_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902716_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902716_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902717_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902717_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902718_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/3/SRR6902718_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902719_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902719_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902720_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902720_2.fastq.gz
CTauTzN__739	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902721_1.fastq.gz	/brendaData/xi/African1Kg/Wildebeest/4/SRR6902721_2.fastq.gz
CGnoNaC_2627	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280164/FP100002001BL_L01_124_1.fq.gz	/jbod1/seqAfrica/raw/disk1/210219_SEQ014_FP100002001BL_L01_SP2101280164/FP100002001BL_L01_124_2.fq.gz
